# Loop closures detected with DINOv2
# Format: idx_i idx_j similarity image_name_i image_name_j
# Total: 256 pairs

41 345 0.925258 img00041.jpg img00345.jpg
18 320 0.916903 img00018.jpg img00320.jpg
20 320 0.915697 img00020.jpg img00320.jpg
16 373 0.915447 img00016.jpg img00373.jpg
42 345 0.912727 img00042.jpg img00345.jpg
18 319 0.909399 img00018.jpg img00319.jpg
41 348 0.909385 img00041.jpg img00348.jpg
42 348 0.907865 img00042.jpg img00348.jpg
16 369 0.906704 img00016.jpg img00369.jpg
16 374 0.905945 img00016.jpg img00374.jpg
15 369 0.905600 img00015.jpg img00369.jpg
42 351 0.903977 img00042.jpg img00351.jpg
42 350 0.903527 img00042.jpg img00350.jpg
16 371 0.903167 img00016.jpg img00371.jpg
15 373 0.902619 img00015.jpg img00373.jpg
18 323 0.902038 img00018.jpg img00323.jpg
41 346 0.902007 img00041.jpg img00346.jpg
42 349 0.901815 img00042.jpg img00349.jpg
16 370 0.900911 img00016.jpg img00370.jpg
50 352 0.899688 img00050.jpg img00352.jpg
41 347 0.899655 img00041.jpg img00347.jpg
42 354 0.898626 img00042.jpg img00354.jpg
14 315 0.898087 img00014.jpg img00315.jpg
18 364 0.898008 img00018.jpg img00364.jpg
42 355 0.897166 img00042.jpg img00355.jpg
15 374 0.897023 img00015.jpg img00374.jpg
16 372 0.896914 img00016.jpg img00372.jpg
51 352 0.894661 img00051.jpg img00352.jpg
52 382 0.893296 img00052.jpg img00382.jpg
13 315 0.893083 img00013.jpg img00315.jpg
41 351 0.892857 img00041.jpg img00351.jpg
18 321 0.892810 img00018.jpg img00321.jpg
70 374 0.892797 img00070.jpg img00374.jpg
51 351 0.892765 img00051.jpg img00351.jpg
12 315 0.892534 img00012.jpg img00315.jpg
42 347 0.892479 img00042.jpg img00347.jpg
50 351 0.891665 img00050.jpg img00351.jpg
50 350 0.891480 img00050.jpg img00350.jpg
19 364 0.890917 img00019.jpg img00364.jpg
18 366 0.890709 img00018.jpg img00366.jpg
42 353 0.890209 img00042.jpg img00353.jpg
20 323 0.890109 img00020.jpg img00323.jpg
50 353 0.890043 img00050.jpg img00353.jpg
20 364 0.889035 img00020.jpg img00364.jpg
43 351 0.888500 img00043.jpg img00351.jpg
28 374 0.888359 img00028.jpg img00374.jpg
15 371 0.888220 img00015.jpg img00371.jpg
42 346 0.888036 img00042.jpg img00346.jpg
20 366 0.887691 img00020.jpg img00366.jpg
41 349 0.886751 img00041.jpg img00349.jpg
41 350 0.886171 img00041.jpg img00350.jpg
70 373 0.885701 img00070.jpg img00373.jpg
20 321 0.884878 img00020.jpg img00321.jpg
51 382 0.884266 img00051.jpg img00382.jpg
42 352 0.884263 img00042.jpg img00352.jpg
41 355 0.883888 img00041.jpg img00355.jpg
51 353 0.883620 img00051.jpg img00353.jpg
41 356 0.883007 img00041.jpg img00356.jpg
49 352 0.882721 img00049.jpg img00352.jpg
41 354 0.882675 img00041.jpg img00354.jpg
50 354 0.882446 img00050.jpg img00354.jpg
14 369 0.882246 img00014.jpg img00369.jpg
11 315 0.882036 img00011.jpg img00315.jpg
11 311 0.881921 img00011.jpg img00311.jpg
41 381 0.881720 img00041.jpg img00381.jpg
27 359 0.881464 img00027.jpg img00359.jpg
27 356 0.881006 img00027.jpg img00356.jpg
28 364 0.880864 img00028.jpg img00364.jpg
71 374 0.880745 img00071.jpg img00374.jpg
41 359 0.880414 img00041.jpg img00359.jpg
41 341 0.880392 img00041.jpg img00341.jpg
14 373 0.880013 img00014.jpg img00373.jpg
41 343 0.879757 img00041.jpg img00343.jpg
52 381 0.879675 img00052.jpg img00381.jpg
15 370 0.879387 img00015.jpg img00370.jpg
12 374 0.879248 img00012.jpg img00374.jpg
25 364 0.878300 img00025.jpg img00364.jpg
27 360 0.878295 img00027.jpg img00360.jpg
43 354 0.878111 img00043.jpg img00354.jpg
43 348 0.878070 img00043.jpg img00348.jpg
41 380 0.878006 img00041.jpg img00380.jpg
41 360 0.876939 img00041.jpg img00360.jpg
41 353 0.876192 img00041.jpg img00353.jpg
70 371 0.876019 img00070.jpg img00371.jpg
28 366 0.875673 img00028.jpg img00366.jpg
41 358 0.875640 img00041.jpg img00358.jpg
27 358 0.875059 img00027.jpg img00358.jpg
11 364 0.875024 img00011.jpg img00364.jpg
19 366 0.874835 img00019.jpg img00366.jpg
18 318 0.874672 img00018.jpg img00318.jpg
51 354 0.874542 img00051.jpg img00354.jpg
14 374 0.874486 img00014.jpg img00374.jpg
18 322 0.873844 img00018.jpg img00322.jpg
20 365 0.873659 img00020.jpg img00365.jpg
41 361 0.873647 img00041.jpg img00361.jpg
50 355 0.873314 img00050.jpg img00355.jpg
43 347 0.873311 img00043.jpg img00347.jpg
41 352 0.873249 img00041.jpg img00352.jpg
19 320 0.873145 img00019.jpg img00320.jpg
52 352 0.873144 img00052.jpg img00352.jpg
42 343 0.872887 img00042.jpg img00343.jpg
42 381 0.872696 img00042.jpg img00381.jpg
15 368 0.872486 img00015.jpg img00368.jpg
14 368 0.872456 img00014.jpg img00368.jpg
50 382 0.872439 img00050.jpg img00382.jpg
7 374 0.872390 img00007.jpg img00374.jpg
11 374 0.871902 img00011.jpg img00374.jpg
71 375 0.871599 img00071.jpg img00375.jpg
14 364 0.871590 img00014.jpg img00364.jpg
51 355 0.871354 img00051.jpg img00355.jpg
41 382 0.871216 img00041.jpg img00382.jpg
42 356 0.871024 img00042.jpg img00356.jpg
52 355 0.870926 img00052.jpg img00355.jpg
27 380 0.870837 img00027.jpg img00380.jpg
13 374 0.869612 img00013.jpg img00374.jpg
52 353 0.869449 img00052.jpg img00353.jpg
28 373 0.869373 img00028.jpg img00373.jpg
19 365 0.869240 img00019.jpg img00365.jpg
15 372 0.868911 img00015.jpg img00372.jpg
20 360 0.868747 img00020.jpg img00360.jpg
52 359 0.868649 img00052.jpg img00359.jpg
27 327 0.868627 img00027.jpg img00327.jpg
43 381 0.868437 img00043.jpg img00381.jpg
15 315 0.868424 img00015.jpg img00315.jpg
22 374 0.868207 img00022.jpg img00374.jpg
15 367 0.868143 img00015.jpg img00367.jpg
18 374 0.867780 img00018.jpg img00374.jpg
22 375 0.867610 img00022.jpg img00375.jpg
27 337 0.867509 img00027.jpg img00337.jpg
49 349 0.867481 img00049.jpg img00349.jpg
20 363 0.867313 img00020.jpg img00363.jpg
12 373 0.867292 img00012.jpg img00373.jpg
11 366 0.867280 img00011.jpg img00366.jpg
