kf_idx,img_idx,tx,ty,tz,qx,qy,qz,qw,loop_ids
0,10,-0.352441460,1.025669813,-0.909772396,0.025656046,-0.213963419,-0.182734922,0.959256768,
1,11,-0.385073811,1.123508215,-1.137273073,0.030135117,-0.221196458,-0.151765674,0.962878644,
2,13,-0.481293887,1.063005328,-1.398841381,-0.033178221,-0.218777999,-0.110051937,0.968982518,
3,14,-0.432874739,1.281344771,-1.497404814,-0.011711894,-0.222232163,-0.123542257,0.967066169,
4,15,-0.556752384,1.445802808,-1.578111291,-0.009492544,-0.189117298,-0.113695160,0.975305796,
5,21,-0.103017718,2.234108925,-2.384323835,-0.003725753,-0.251828820,-0.137749150,0.957913697,
6,25,-0.341873705,2.693446636,-2.800153255,0.013337698,-0.223569065,-0.104469672,0.968984365,
7,28,-0.092446290,3.132070065,-2.972640753,0.037390195,-0.241733477,-0.127745643,0.961172819,
8,31,-0.385995567,2.934072495,-3.648802996,-0.031825487,-0.223707333,-0.082054690,0.970678031,
9,35,-0.165278912,3.607520103,-3.805678606,0.014557265,-0.252835274,-0.081344277,0.963977337,
10,37,0.150083661,3.659115314,-4.073223114,-0.012761339,-0.255244404,-0.116588496,0.959739804,
11,41,0.858247757,3.835876226,-4.820370674,-0.040667597,-0.292185217,-0.147646248,0.944024026,
12,42,1.099992037,3.997163773,-4.935235500,-0.041342050,-0.297330916,-0.168962196,0.938798368,
13,43,0.766985953,4.395796299,-4.980881691,-0.027680356,-0.261897892,-0.168357581,0.949897170,
14,47,-0.212275952,3.896390676,-6.315950871,-0.108506635,-0.224552706,-0.086746655,0.964512110,
15,49,1.015952468,3.640015841,-6.953921795,-0.130714372,-0.291112602,-0.115340799,0.940675557,
16,52,2.590843201,2.617301702,-7.554262161,-0.210243762,-0.350946158,-0.173268899,0.895889461,
17,56,0.996455073,4.529928684,-7.694134235,-0.127436399,-0.267445147,-0.111900322,0.948534548,
18,59,1.886414528,4.294839382,-8.265888214,-0.164887652,-0.276930213,-0.163531467,0.932408452,313
19,62,1.340894461,5.076929569,-8.364730835,-0.136565521,-0.269481480,-0.127904296,0.944657266,
20,65,1.161741614,4.752618313,-9.091023445,-0.188427970,-0.235650748,-0.150936007,0.941376448,
21,70,0.539056301,5.478622437,-9.551473618,-0.179062754,-0.230204940,-0.111430503,0.950017512,
22,74,0.866249084,6.103936672,-9.925595284,-0.166665375,-0.250681698,-0.107065707,0.947590053,
23,79,1.164015770,5.880075455,-10.924477577,-0.206651121,-0.249679387,-0.111126252,0.939475238,
24,82,1.381179571,5.953148365,-11.260341644,-0.220191896,-0.233152360,-0.135497645,0.937445283,
25,84,2.990244389,5.919904709,-11.211104393,-0.226530969,-0.250992060,-0.203821778,0.918776870,
26,87,8.169278145,5.167161465,-9.095790863,-0.187147424,-0.319015592,-0.419752061,0.828867018,
27,90,12.346573830,1.272237062,-5.370814800,-0.154458433,-0.401829123,-0.624760449,0.651428759,
28,92,13.035159111,0.331366032,-3.969153404,-0.139523551,-0.439268917,-0.657683969,0.595849276,
29,95,13.208312988,0.418076664,-4.082840919,-0.123746648,-0.421542853,-0.683467507,0.582982481,
30,99,13.083905220,0.997982979,-4.821925640,-0.153738141,-0.457351893,-0.641775310,0.596092939,
31,102,12.711998940,2.287646532,-5.687505722,-0.144509733,-0.430000633,-0.633517265,0.626801908,
32,105,12.826419830,2.581384182,-5.604787350,-0.138914317,-0.439180315,-0.636661708,0.618460953,
33,108,13.169894218,2.440517187,-5.340299129,-0.133990213,-0.444846570,-0.655249834,0.595663846,
34,111,12.831857681,2.786146164,-6.429478168,-0.169508755,-0.464407533,-0.620432496,0.608823895,
35,113,12.629016876,3.548387051,-6.800970078,-0.162725553,-0.449547887,-0.619089186,0.623030007,
