kf_idx,img_idx,tx,ty,tz,qx,qy,qz,qw,loop_ids
0,10,-0.352441460,1.025669813,-0.909772396,0.025655992,-0.213962972,-0.182734540,0.959254765,99
1,11,-0.385073811,1.123508215,-1.137273073,0.030135055,-0.221196004,-0.151765363,0.962876670,99
2,13,-0.481293887,1.063005328,-1.398841381,-0.033178169,-0.218777654,-0.110051763,0.968980989,100
3,14,-0.432874739,1.281344771,-1.497404814,-0.011711871,-0.222231722,-0.123542012,0.967064251,100
4,15,-0.556752384,1.445802808,-1.578111291,-0.009492528,-0.189116972,-0.113694964,0.975304116,100
5,21,-0.103017718,2.234108925,-2.384323835,-0.003725743,-0.251828176,-0.137748798,0.957911247,102
6,25,-0.341873705,2.693446636,-2.800153255,0.013337660,-0.223568435,-0.104469378,0.968981636,103
7,28,-0.092446290,3.132070065,-2.972640753,0.037390097,-0.241732844,-0.127745308,0.961170302,103
8,31,-0.385995567,2.934072495,-3.648802996,-0.031825381,-0.223706590,-0.082054417,0.970674806,104
9,35,-0.165278912,3.607520103,-3.805678606,0.014557216,-0.252834416,-0.081344001,0.963974066,105
10,37,0.150083661,3.659115314,-4.073223114,-0.012761301,-0.255243648,-0.116588151,0.959736960,105
11,41,0.858247757,3.835876226,-4.820370674,-0.040667458,-0.292184219,-0.147645744,0.944020802,106
12,42,1.099992037,3.997163773,-4.935235500,-0.041341938,-0.297330108,-0.168961737,0.938795815,107
13,43,0.766985953,4.395796299,-4.980881691,-0.027680278,-0.261897157,-0.168357108,0.949894502,107
14,47,-0.212275952,3.896390676,-6.315950871,-0.108506299,-0.224552010,-0.086746386,0.964509120,108
15,49,1.015952468,3.640015841,-6.953921795,-0.130713928,-0.291111613,-0.115340407,0.940672360,109
16,52,2.590843201,2.617301702,-7.554262161,-0.210243165,-0.350945161,-0.173268407,0.895886915,110
17,56,0.996455073,4.529928684,-7.694134235,-0.127435990,-0.267444289,-0.111899963,0.948531506,111
18,59,1.886414528,4.294839382,-8.265888214,-0.164887129,-0.276929335,-0.163530948,0.932405495,112;313
