id,tx,ty,tz,qx,qy,qz,qw
0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000
1,-0.033707481,0.028409909,-0.016030103,-0.004058592,-0.048812803,-0.043860294,0.997835994
2,-0.055774122,0.042599320,-0.024939645,-0.007383284,-0.077176102,-0.067251973,0.994719148
3,-0.120799996,0.080112107,-0.056764469,-0.034276322,-0.157838359,-0.112444311,0.980443060
4,-0.121702313,0.291265428,-0.038431074,-0.064247020,-0.273601979,-0.286045849,0.916074395
5,-0.110806569,0.454540670,-0.217784047,-0.019118508,-0.278645575,-0.271581531,0.920997322
6,-0.125359118,0.597464681,-0.354049593,0.001765080,-0.278564692,-0.264106274,0.923389733
7,-0.197825536,0.696703970,-0.472645104,0.016623793,-0.268695235,-0.218017414,0.938081801
8,-0.313733488,0.769859135,-0.593290091,0.015383216,-0.237987772,-0.159418955,0.957973957
9,-0.310403377,0.919007123,-0.814917684,0.026425958,-0.245481804,-0.169848129,0.954041779
10,-0.352441460,1.025669813,-0.909772396,0.025656046,-0.213963419,-0.182734922,0.959256768
11,-0.385073811,1.123508215,-1.137273073,0.030135117,-0.221196458,-0.151765674,0.962878644
12,-0.471435666,1.112150550,-1.240441799,0.006245832,-0.210956469,-0.126679271,0.969233751
13,-0.481293887,1.063005328,-1.398841381,-0.033178221,-0.218777999,-0.110051937,0.968982518
14,-0.432874739,1.281344771,-1.497404814,-0.011711894,-0.222232163,-0.123542257,0.967066169
15,-0.556752384,1.445802808,-1.578111291,-0.009492544,-0.189117298,-0.113695160,0.975305796
16,-0.540431499,1.560937285,-1.713975549,-0.012073525,-0.198860645,-0.111984372,0.973535419
17,-0.458459973,1.768778563,-1.798860431,0.005234343,-0.203243598,-0.129506499,0.970513761
18,-0.565239489,1.652902007,-2.155907154,-0.049947031,-0.216361076,-0.083198346,0.971480548
19,-0.249763995,1.881888866,-2.247668505,-0.028190007,-0.263083190,-0.109086558,0.958173692
20,-0.164453506,2.096837044,-2.255167723,-0.018314803,-0.240016147,-0.146203801,0.959523499
21,-0.103017718,2.234108925,-2.384323835,-0.003725753,-0.251828820,-0.137749150,0.957913697
22,-0.339291990,2.288895130,-2.599089384,-0.004735761,-0.239224270,-0.096519031,0.966146410
23,-0.378596991,2.434657812,-2.671276569,0.003447230,-0.232355788,-0.091858439,0.968279898
24,-0.432180166,2.575925350,-2.718567610,0.019788260,-0.228771999,-0.083461694,0.969696224
25,-0.341873705,2.693446636,-2.800153255,0.013337698,-0.223569065,-0.104469672,0.968984365
26,-0.149407268,2.653383017,-3.074005127,-0.003067823,-0.255456209,-0.099105798,0.961724937
27,-0.090545654,2.947411537,-2.993183613,0.032993987,-0.258161366,-0.111108258,0.959126234
28,-0.092446290,3.132070065,-2.972640753,0.037390195,-0.241733477,-0.127745643,0.961172819
29,-0.161411434,2.899329185,-3.306433439,-0.007457084,-0.242474958,-0.107002519,0.964213014
30,-0.355014861,2.911926508,-3.473251104,-0.021349009,-0.222462967,-0.091941796,0.970364213
31,-0.385995567,2.934072495,-3.648802996,-0.031825487,-0.223707333,-0.082054690,0.970678031
32,-0.153929964,3.063513756,-3.737473011,-0.031997114,-0.231855363,-0.107348792,0.966282725
33,-0.011457903,3.420474052,-3.656717777,0.009650507,-0.253410339,-0.103936322,0.961714208
34,0.054380611,3.450432539,-3.811397552,0.000485875,-0.257499814,-0.104877755,0.960573256
